state,county,candidate,votes_2016,votes_2020
alabama,autauga,other,12892,516
alabama,autauga,the dem,5936,7503
alabama,autauga,trump,18172,19838
alabama,baldwin,other,55584,1890
alabama,baldwin,the dem,18458,24578
alabama,baldwin,trump,72883,83544
alabama,barbour,other,6187,122
alabama,barbour,the dem,4871,4816
alabama,barbour,trump,5454,5622
alabama,bibb,other,5277,119
alabama,bibb,the dem,1874,1986
alabama,bibb,trump,6738,7525
alabama,blount,other,13830,312
alabama,blount,the dem,2150,2640
alabama,blount,trump,22808,24711
alabama,bullock,other,3234,41
alabama,bullock,the dem,3530,3446
alabama,bullock,trump,1139,1146
alabama,butler,other,4788,104
alabama,butler,the dem,3726,3965
alabama,butler,trump,4901,5458
alabama,calhoun,other,27331,828
alabama,calhoun,the dem,13242,15216
alabama,calhoun,trump,32865,35101
alabama,chambers,other,8617,214
alabama,chambers,the dem,5784,6365
alabama,chambers,trump,7843,8753
alabama,cherokee,other,4481,139
alabama,cherokee,the dem,1547,1624
alabama,cherokee,trump,8953,10583
alabama,chilton,other,8079,208
alabama,chilton,the dem,2911,3073
alabama,chilton,trump,15081,16085
alabama,choctaw,other,4055,87
alabama,choctaw,the dem,3109,3127
alabama,choctaw,trump,4106,4296
alabama,clarke,other,8244,106
alabama,clarke,the dem,5749,5755
alabama,clarke,trump,7140,7324
alabama,clay,other,2669,88
alabama,clay,the dem,1237,1267
alabama,clay,trump,5245,5601
alabama,cleburne,other,3357,96
alabama,cleburne,the dem,684,675
alabama,cleburne,trump,5764,6484
alabama,coffee,other,9657,364
alabama,coffee,the dem,4221,5076
alabama,coffee,trump,15875,16899
alabama,colbert,other,13112,438
alabama,colbert,the dem,7312,8343
alabama,colbert,trump,16746,19203
alabama,conecuh,other,4054,71
alabama,conecuh,the dem,3080,2966
alabama,conecuh,trump,3420,3442
alabama,coosa,other,3054,67
alabama,coosa,the dem,1782,1796
alabama,coosa,trump,3381,3631
alabama,covington,other,7584,184
alabama,covington,the dem,2387,2721
alabama,covington,trump,13267,14586
alabama,crenshaw,other,3007,75
alabama,crenshaw,the dem,1664,1700
alabama,crenshaw,trump,4513,4864
alabama,cullman,other,19929,625
alabama,cullman,the dem,3798,4478
alabama,cullman,trump,32989,36880
alabama,dale,other,8996,341
alabama,dale,the dem,4413,5170
alabama,dale,trump,13808,14303
alabama,dallas,other,12733,186
alabama,dallas,the dem,12826,12230
alabama,dallas,trump,5784,5524
alabama,dekalb,other,12822,403
alabama,dekalb,the dem,3682,4281
alabama,dekalb,trump,21779,24767
alabama,elmore,other,16387,615
alabama,elmore,the dem,8443,10367
alabama,elmore,trump,27634,30164
alabama,escambia,other,8164,169
alabama,escambia,the dem,4698,4918
alabama,escambia,trump,10282,10869
alabama,etowah,other,24450,776
alabama,etowah,the dem,10442,11567
alabama,etowah,trump,32353,35528
alabama,fayette,other,4046,120
alabama,fayette,the dem,1362,1395
alabama,fayette,trump,6712,7300
alabama,franklin,other,4314,203
alabama,franklin,the dem,2197,2086
alabama,franklin,trump,9466,10376
alabama,geneva,other,4676,145
alabama,geneva,the dem,1525,1595
alabama,geneva,trump,9994,10848
alabama,greene,other,3943,42
alabama,greene,the dem,4012,3884
alabama,greene,trump,838,875
alabama,hale,other,5687,68
alabama,hale,the dem,4772,4663
alabama,hale,trump,3172,3192
alabama,henry,other,3914,125
alabama,henry,the dem,2292,2606
alabama,henry,trump,5632,6607
alabama,houston,other,19319,770
alabama,houston,the dem,10664,12917
alabama,houston,trump,30728,32618
alabama,jackson,other,9171,342
alabama,jackson,the dem,3663,3717
alabama,jackson,trump,16643,19670
alabama,jefferson,other,209804,6478
alabama,jefferson,the dem,156384,181688
alabama,jefferson,trump,134498,138843
alabama,lamar,other,3467,59
alabama,lamar,the dem,1035,978
alabama,lamar,trump,5819,6174
alabama,lauderdale,other,18391,874
alabama,lauderdale,the dem,9952,11915
alabama,lauderdale,trump,27899,31721
alabama,lawrence,other,7648,217
alabama,lawrence,the dem,3611,3562
alabama,lawrence,trump,10732,12322
alabama,lee,other,37210,1544
alabama,lee,the dem,21230,27860
alabama,lee,trump,34617,42221
alabama,limestone,other,18641,1071
alabama,limestone,the dem,9468,13672
alabama,limestone,trump,29067,34640
alabama,lowndes,other,4630,68
alabama,lowndes,the dem,4883,4972
alabama,lowndes,trump,1751,1836
alabama,macon,other,6631,122
alabama,macon,the dem,7566,7108
alabama,macon,trump,1431,1541
alabama,madison,other,91312,5308
alabama,madison,the dem,62822,87286
alabama,madison,trump,89520,102780
alabama,marengo,other,6295,111
alabama,marengo,the dem,5615,5488
alabama,marengo,trump,5233,5343
alabama,marion,other,5955,187
alabama,marion,the dem,1432,1463
alabama,marion,trump,11273,12205
alabama,marshall,other,17624,617
alabama,marshall,the dem,4917,5943
alabama,marshall,trump,29233,33191
alabama,mobile,other,114893,3096
alabama,mobile,the dem,71001,79474
alabama,mobile,trump,94002,101243
alabama,monroe,other,6548,105
alabama,monroe,the dem,4332,4455
alabama,monroe,trump,5795,6147
alabama,montgomery,other,60626,1722
alabama,montgomery,the dem,58916,64529
alabama,montgomery,trump,34003,33311
alabama,morgan,other,28253,1007
alabama,morgan,the dem,11254,13234
alabama,morgan,trump,37486,39664
alabama,perry,other,4052,59
alabama,perry,the dem,3824,3860
alabama,perry,trump,1407,1339
alabama,pickens,other,5039,85
alabama,pickens,the dem,3972,4022
alabama,pickens,trump,5454,5594
alabama,pike,other,6869,217
alabama,pike,the dem,5056,5636
alabama,pike,trump,7693,8042
alabama,randolph,other,5012,111
alabama,randolph,the dem,2290,2203
alabama,randolph,trump,7697,8559
alabama,russell,other,13017,302
alabama,russell,the dem,9577,11228
alabama,russell,trump,9210,9864
alabama,shelby,other,59412,2297
alabama,shelby,the dem,22927,33268
alabama,shelby,trump,72846,79700
alabama,sumter,other,5001,78
alabama,sumter,the dem,4746,4648
alabama,sumter,trump,1581,1598
alabama,talladega,other,21949,406
alabama,talladega,the dem,12121,13138
alabama,talladega,trump,20614,22235
alabama,tallapoosa,other,10611,245
alabama,tallapoosa,the dem,5519,5859
alabama,tallapoosa,trump,13594,14963
alabama,tuscaloosa,other,49844,1539
alabama,tuscaloosa,the dem,31762,37765
alabama,tuscaloosa,trump,47723,51117
alabama,walker,other,14048,431
alabama,walker,the dem,4497,4834
alabama,walker,trump,24266,26002
alabama,washington,other,3974,96
alabama,washington,the dem,2366,2258
alabama,washington,trump,6031,6564
alabama,wilcox,other,4211,54
alabama,wilcox,the dem,4329,4048
alabama,wilcox,trump,1737,1833
alabama,winston,other,5588,144
alabama,winston,the dem,872,974
alabama,winston,trump,9228,10195
arizona,apache,other,2338,437
arizona,apache,the dem,17083,23293
arizona,apache,trump,8240,11442
arizona,cochise,other,4469,1153
arizona,cochise,the dem,17448,23732
arizona,cochise,trump,28080,35557
arizona,coconino,other,6272,1522
arizona,coconino,the dem,32404,44698
arizona,coconino,trump,21108,27052
arizona,gila,other,1330,342
arizona,gila,the dem,7003,8943
arizona,gila,trump,14182,18377
arizona,graham,other,955,212
arizona,graham,the dem,3301,4034
arizona,graham,trump,8025,10749
arizona,greenlee,other,316,70
arizona,greenlee,the dem,1092,1182
arizona,greenlee,trump,1892,2433
arizona,la paz,other,373,93
arizona,la paz,the dem,1575,2236
arizona,la paz,trump,4003,5129
arizona,maricopa,other,117566,31705
arizona,maricopa,the dem,702907,1040774
arizona,maricopa,trump,747361,995665
arizona,mohave,other,4206,1302
arizona,mohave,the dem,17455,24831
arizona,mohave,trump,58282,78535
arizona,navajo,other,3258,727
arizona,navajo,the dem,16459,23383
arizona,navajo,trump,20577,27657
arizona,pima,other,29551,7658
arizona,pima,the dem,224661,304981
arizona,pima,trump,167428,207758
arizona,pinal,other,8835,2791
arizona,pinal,the dem,47892,75106
arizona,pinal,trump,72819,107077
arizona,santa cruz,other,846,224
arizona,santa cruz,the dem,11690,13138
arizona,santa cruz,trump,3897,6194
arizona,yavapai,other,7530,2092
arizona,yavapai,the dem,35590,49602
arizona,yavapai,trump,71330,91527
arizona,yuma,other,3240,1137
arizona,yuma,the dem,24605,32210
arizona,yuma,trump,25165,36534
arkansas,arkansas,other,5001,170
arkansas,arkansas,the dem,1939,1818
arkansas,arkansas,trump,3826,4304
arkansas,ashley,other,6774,253
arkansas,ashley,the dem,2408,2125
arkansas,ashley,trump,5338,5548
arkansas,baxter,other,915,536
arkansas,baxter,the dem,4169,4635
arkansas,baxter,trump,14682,15836
arkansas,benton,other,82222,3698
arkansas,benton,the dem,28005,42249
arkansas,benton,trump,60871,73965
arkansas,boone,other,11277,398
arkansas,boone,the dem,2926,3064
arkansas,boone,trump,12235,13652
arkansas,bradley,other,3273,105
arkansas,bradley,the dem,1317,1214
arkansas,bradley,trump,2164,2335
arkansas,calhoun,other,74,67
arkansas,calhoun,the dem,639,479
arkansas,calhoun,trump,1556,1636
arkansas,carroll,other,8130,350
arkansas,carroll,the dem,3342,4023
arkansas,carroll,trump,6786,7424
arkansas,chicot,other,110,91
arkansas,chicot,the dem,2350,2260
arkansas,chicot,trump,1716,1752
arkansas,clark,other,7327,341
arkansas,clark,the dem,3620,3438
arkansas,clark,trump,4404,4616
arkansas,clay,other,220,135
arkansas,clay,the dem,1199,962
arkansas,clay,trump,3781,4086
arkansas,cleburne,other,8343,364
arkansas,cleburne,the dem,2101,1988
arkansas,cleburne,trump,9458,10328
arkansas,cleveland,other,169,82
arkansas,cleveland,the dem,723,651
arkansas,cleveland,trump,2462,2867
arkansas,columbia,other,16563,302
arkansas,columbia,the dem,3140,2814
arkansas,columbia,trump,5456,5500
arkansas,conway,other,6010,376
arkansas,conway,the dem,2656,2615
arkansas,conway,trump,4849,5694
arkansas,craighead,other,2143,1032
arkansas,craighead,the dem,10538,11921
arkansas,craighead,trump,22892,25558
arkansas,crawford,other,1276,525
arkansas,crawford,the dem,4488,4959
arkansas,crawford,trump,16686,18607
arkansas,crittenden,other,12561,520
arkansas,crittenden,the dem,8410,8514
arkansas,crittenden,trump,6964,7333
arkansas,cross,other,291,224
arkansas,cross,the dem,1999,1772
arkansas,cross,trump,4584,4946
arkansas,dallas,other,97,113
arkansas,dallas,the dem,1165,963
arkansas,dallas,trump,1509,1573
arkansas,desha,other,3361,227
arkansas,desha,the dem,2228,2016
arkansas,desha,trump,1919,1921
arkansas,drew,other,262,133
arkansas,drew,the dem,2365,2426
arkansas,drew,trump,3968,4349
arkansas,faulkner,other,30276,1660
arkansas,faulkner,the dem,14629,18347
arkansas,faulkner,trump,29346,34421
arkansas,franklin,other,355,152
arkansas,franklin,the dem,1376,1300
arkansas,franklin,trump,5039,5677
arkansas,fulton,other,3163,123
arkansas,fulton,the dem,1067,1035
arkansas,fulton,trump,3471,3961
arkansas,garland,other,30108,1085
arkansas,garland,the dem,12311,14045
arkansas,garland,trump,26087,29069
arkansas,grant,other,5550,138
arkansas,grant,the dem,1373,1268
arkansas,grant,trump,5725,6794
arkansas,greene,other,9893,372
arkansas,greene,the dem,3071,3058
arkansas,greene,trump,10720,12670
arkansas,hempstead,other,271,240
arkansas,hempstead,the dem,2377,2138
arkansas,hempstead,trump,4401,4470
arkansas,hot spring,other,623,273
arkansas,hot spring,the dem,3149,3082
arkansas,hot spring,trump,8172,9202
arkansas,howard,other,166,127
arkansas,howard,the dem,1351,1340
arkansas,howard,trump,3157,3367
arkansas,independence,other,797,456
arkansas,independence,the dem,2881,2806
arkansas,independence,trump,9936,11250
arkansas,izard,other,4000,158
arkansas,izard,the dem,1113,1021
arkansas,izard,trump,4042,4631
arkansas,jackson,other,3347,133
arkansas,jackson,the dem,1583,1365
arkansas,jackson,trump,3267,3593
arkansas,jefferson,other,872,656
arkansas,jefferson,the dem,15772,14981
arkansas,jefferson,trump,9250,9521
arkansas,johnson,other,7537,277
arkansas,johnson,the dem,2427,2283
arkansas,johnson,trump,6091,6938
arkansas,lafayette,other,70,83
arkansas,lafayette,the dem,1032,839
arkansas,lafayette,trump,1758,1757
arkansas,lawrence,other,5227,208
arkansas,lawrence,the dem,1263,1080
arkansas,lawrence,trump,4064,4569
