,precinct,office,party_detailed,party_simplified,mode,votes,county_name,jurisdiction_name,jurisdiction_fips,candidate,district,dataverse,state,writein,state_po,state_cen,state_ic,date,readme_check,magnitude
520403,9999,US PRESIDENT,,,TOTAL,-2,CHARLEVOIX,{STATISTICAL ADJUSTMENTS},26029,BRIAN T CARROLL,STATEWIDE,PRESIDENT,MICHIGAN,TRUE,MI,34,23,2020-11-03,TRUE,1
520404,9999,US PRESIDENT,,,TOTAL,-1,TUSCOLA,{STATISTICAL ADJUSTMENTS},26157,BRIAN T CARROLL,STATEWIDE,PRESIDENT,MICHIGAN,TRUE,MI,34,23,2020-11-03,TRUE,1
520573,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-1648,EATON,{STATISTICAL ADJUSTMENTS},26045,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520574,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-924,CLINTON,{STATISTICAL ADJUSTMENTS},26037,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520575,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-35,BAY,{STATISTICAL ADJUSTMENTS},26017,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520576,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-9,CLARE,{STATISTICAL ADJUSTMENTS},26035,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520577,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-5,MONROE,{STATISTICAL ADJUSTMENTS},26115,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520578,9999,US PRESIDENT,DEMOCRAT,DEMOCRAT,TOTAL,-1,KALKASKA,{STATISTICAL ADJUSTMENTS},26079,JOSEPH R BIDEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520607,9999,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,TOTAL,-27,MONTMORENCY,{STATISTICAL ADJUSTMENTS},26119,JO JORGENSEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520608,9999,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,TOTAL,-19,EATON,{STATISTICAL ADJUSTMENTS},26045,JO JORGENSEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520609,9999,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,TOTAL,-5,CLINTON,{STATISTICAL ADJUSTMENTS},26037,JO JORGENSEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520610,9999,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,TOTAL,-3,BAY,{STATISTICAL ADJUSTMENTS},26017,JO JORGENSEN,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520641,9999,US PRESIDENT,US TAXPAYERS PARTY,OTHER,TOTAL,-4,EATON,{STATISTICAL ADJUSTMENTS},26045,DON BLANKENSHIP,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520642,9999,US PRESIDENT,US TAXPAYERS PARTY,OTHER,TOTAL,-1,CLARE,{STATISTICAL ADJUSTMENTS},26035,DON BLANKENSHIP,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
520675,9999,US PRESIDENT,GREEN,OTHER,TOTAL,-9,EATON,{STATISTICAL ADJUSTMENTS},26045,HOWIE HAWKINS,STATEWIDE,PRESIDENT,MICHIGAN,FALSE,MI,34,23,2020-11-03,TRUE,1
